번호,단어,뜻
0001,food,음식
0002,Chinese food,중국 음식
0003,organic food,유기농 음식
0004,food waste,음식물쓰레기
0005,pasta,파스타
0006,carrot,당근
0007,brownie,"초콜릿 케이크, 브라우니"
0008,noodle,"국수, 면"
0009,instant noodles,라면
0010,ketchup,케첩
0011,broth,"묽은 수프, 국"
0012,chicken broth,닭고기 스프
0013,egg,"계란, 알"
0014,lay eggs,알을 낳다
0015,appetizer,"(식욕을 돋우기 위한)전채, 애피타이저"
0016,side dish,반찬
0017,snack,"군것질, 간단한 식사"
0018,snack bar,스낵바 (같은 간단한 식사거리를 파는 곳)
0019,grain,"곡식, 알갱이"
0020,whole-grain,"정백하지 않은, 통곡물의"
0021,rice,"쌀, 밥"
0022,white rice,흰 쌀밥
0023,instant rice,즉석밥
0024,bread,빵
0025,toast,토스트
0026,meat,"고기, 육류"
0027,lamb,양고기
0028,steak,스테이크
0029,protein,단백질
0030,nutrients,"영양분, 영양소"
0031,nutrition,영양 (섭취)
0032,calorie,칼로리
0033,fat,지방
0034,sugar,"설탕, 당분"
0035,natural sugar,천연 당분
0036,seasoning,"양념, 조미료"
0037,soy sauce,간장
0038,salt,소금
0039,oil,기름
0040,olive oil,올리브유
0041,drink,"음료, 마실 것"
0042,juice,"주스, 즙"
0043,orange juice,오렌지 주스
0044,soda,탄산음료
0045,water,물
0046,spring water,생수
0047,bottled water,병에 든 물
0048,tap water,수돗물
0049,caffeine,카페인
0050,coffee,커피
0051,ice coffee,아이스 커피
0052,tea,차
0053,alcohol,"술, 알코올"
0054,wine,"포도주, 와인"
0055,red wine,적포도주
0056,cook,(음식을) 요리하다
0057,steam,(음식을) 찌다
0058,fry,기름에 튀기다
0059,fry up,기름을 넉넉히 둘러서 볶다
0060,roast,"(고기 등을) 굽다, 볶다"
0061,bake,"(빵, 과자 등을) 굽다"
0062,eat,먹다
0063,have,먹다
0064,taste,(음식을) 맛보다
0065,sip,홀짝이다
0066,chew,(음식을) 씹다
0067,swallow,(음식을) 삼키다
0068,chop,"(고기, 채소 등을) 썰다, 다듬다"
0069,cut,(음식을) 자르다
0070,mix,(재료 등을) 섞다
0071,pour,(물 등을) 따르다
0072,stir,휘젓다
0073,slice,(빵 등을) 얇게 썰다
0074,serve,(음식을) 제공하다
0075,boil,(물을) 끓이다
0076,reheat,(음식을) 다시 데우다
0077,raw,"날것의, 익히지 않은"
0078,ripe,"(과일이) 익은, 숙성한"
0079,fresh,신선한
0080,freshly,갓
0081,sweet,달콤한
0082,spicy,매운
0083,salty,짠
0084,sour,신
0085,savory,풍미 있는
0086,bitter,쓴
0087,delicious,맛있는
0088,tasty,맛있는
0089,tasteless,"싱거운, 아무 맛이 없는"
0090,appetite,식욕
0091,meal,식사
0092,breakfast,아침 식사
0093,lunch,점심 식사
0094,dinner,저녁 식사
0095,home-cooked meal,집에서 만든 음식
0096,have a meal,식사를 하다
0097,go out for a meal,외식하러 가다
0098,take-out,"테이크아웃의, 포장 판매의"
0099,food poisoning,식중독
0100,restaurant,"음식점, 식당"
0101,chef,요리사
0102,waiter,웨이터
0103,waitress,웨이트리스
0104,cater,음식을 공급하다
0105,fork,포크
0106,spoon,숟가락
0107,knife,칼
0108,napkin,냅킨
0109,tablecloth,식탁보
0110,plate,접시
0111,bowl,"그릇, 사발"
0112,cup,컵
0113,dish,"접시, 요리"
0114,kitchen,주방
0115,sink,싱크대
0116,refrigerator,냉장고
0117,microwave,전자레인지
0118,oven,오븐
0119,dishes,식기류
